,description
1098,"{'min_years_of_experience': 6, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 160000, 'max_yearly_salary': 200000, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['Machine learning', 'Data science', 'Python', 'C++', 'Java', 'Google Cloud', 'Analytics']}"
1099,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['machine learning', 'statistical analysis', 'ML frameworks', 'data processing', 'data intuition', 'model deployment', 'A/B testing', 'experimental design']}"
1100,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 75600, 'max_yearly_salary': 172000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data exploration', 'data cleaning', 'data analysis', 'data visualization', 'data mining', 'data visualization software', 'R', 'Python', 'SQL', 'NoSQL', 'predictive models', 'quantitative analyses', 'AWS']}"
1101,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['SQL', 'Python', 'R', 'statistical inference', 'analytical thinking', 'experimentation']}"
1102,"{'min_years_of_experience': 4, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 150000, 'max_yearly_salary': 223000, 'required_degree': 'MS', 'remote_work': True, 'required_skills': ['analytics', 'Python', 'R', 'SQL', 'statistical modeling', 'machine learning', 'AI', 'human evaluation']}"
1103,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 109480, 'max_yearly_salary': 165600, 'required_degree': 'Advanced degree in Computer Science, Engineering, or related field', 'remote_work': True, 'required_skills': ['Machine Learning', 'Python', 'C++', 'Golang', 'Java', 'Agile', 'Scrum', 'full-stack', 'backend']}"
1104,"{'min_years_of_experience': 3, 'min_hourly_salary': 86, 'max_hourly_salary': 120, 'min_yearly_salary': 180000, 'max_yearly_salary': 250000, 'required_degree': 'MS', 'remote_work': True, 'required_skills': ['Machine Learning', 'AI/ML', 'Python', 'Cloud providers', 'Communication', 'TensorFlow', 'HuggingFace', 'PyTorch', 'Keras', 'OpenCV', 'Fairlearn', 'MLflow', 'Pandas']}"
1105,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['data science', 'machine learning', 'artificial intelligence', 'data modeling', 'analytics']}"
1106,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 100000, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['Core Java', 'javascript', 'C++', 'software programming', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'Github', 'Kubernates', ""REST API's"", 'Statistics', 'Gen AI', 'LLM', 'Sagemaker', 'Python', 'Computer Vision', 'data visualization tools']}"
1107,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 136000, 'max_yearly_salary': 176000, 'required_degree': None, 'remote_work': False, 'required_skills': ['data science', 'data analysis', 'marketing', 'measurement techniques', 'SQL', 'R/Python', 'statistical methods', 'data visualization']}"
1108,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['data science', 'machine learning', 'programming', 'analytical skills', 'problem-solving', 'data ingestion']}"
1109,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['technical guidance', 'best practices', 'coding standards', 'team development', 'process compliance', 'technical discussions', 'feasibility study', 'technical risks']}"
1110,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['MLOps', 'CI/CD', 'AWS', 'Docker', 'Kubernetes', 'Infrastructure-as-Code', 'data versioning', 'experiment tracking', 'deep learning', 'security', 'communication', 'Agile']}"
1111,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 90000, 'max_yearly_salary': 150000, 'required_degree': None, 'remote_work': True, 'required_skills': ['Python', 'SQL', 'statistical modeling', 'data analysis', 'cross-functional collaboration', 'SDLC']}"
1112,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'Bachelors degree or Masters degree', 'remote_work': False, 'required_skills': ['programming language Java', 'software development life cycle', 'Statistics', 'Gen AI', 'LLM', 'Python', 'Computer Vision', 'data visualization tools', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'Databricks', 'Tensorflow', 'Core Java', 'javascript', 'C++', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'Github', 'Kubernates', ""REST API's""]}"
1113,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 172000, 'max_yearly_salary': 215000, 'required_degree': 'MS', 'remote_work': True, 'required_skills': ['SQL', 'Python', 'machine learning', 'data analysis', 'statistical analysis']}"
1114,"{'min_years_of_experience': 8, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 168000, 'max_yearly_salary': 252000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['analytics', 'statistical analysis', 'coding', 'Python', 'R', 'SQL']}"
1115,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS/PhD', 'remote_work': False, 'required_skills': ['data science', 'analytical tools', 'programming languages', 'SQL', 'Linux', 'data mining', 'statistical modeling', 'NLP', 'machine learning', 'A/B testing']}"
1116,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 118000, 'max_yearly_salary': 189600, 'required_degree': 'MS', 'remote_work': True, 'required_skills': ['machine learning', 'Python', 'SQL', 'Spark', 'cloud environments', 'Agile development']}"
1117,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 136000, 'max_yearly_salary': 210000, 'required_degree': 'MSc or PhD', 'remote_work': False, 'required_skills': ['Python', 'C++', 'Machine Learning', 'Statistics', 'JAX', 'TensorFlow', 'PyTorch', 'Software Engineering']}"
1118,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 150000, 'max_yearly_salary': 350000, 'required_degree': None, 'remote_work': False, 'required_skills': ['generative AI', 'computer vision', 'deep learning', 'PyTorch', 'generative models', 'model optimization', 'scalability']}"
1119,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 129300, 'max_yearly_salary': 161600, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Quantization of Neural Networks', 'Sparsity of Neural Networks', 'Training of Neural Networks', 'C++', 'Python', 'Numpy', 'Pytorch']}"
1120,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['software engineering', 'OOP', 'Python', 'PostgreSQL', 'FLASK', 'REST', 'Linux', 'SQL', 'APIs', 'micro services', 'git']}"
1121,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data manipulation', 'data cleaning', 'predictive modeling', 'prescriptive modeling', 'data visualization', 'cloud deployment', 'statistical techniques', 'machine learning', 'Python', 'SQL']}"
1122,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['statistical analysis', 'machine learning', 'data analysis', 'Python', 'SQL', 'R', 'Databricks', 'data visualization', 'communication', 'team collaboration']}"
1123,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 159500, 'max_yearly_salary': 213900, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['machine learning', 'data modeling', 'statistical modeling', 'Python', 'SQL', 'data visualization']}"
1124,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'PhD', 'remote_work': True, 'required_skills': ['AI', 'Machine Learning', 'Deep Learning', 'Statistical Foundations', 'Interdisciplinary Research', 'Software Engineering']}"
1125,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 200000, 'max_yearly_salary': 280000, 'required_degree': 'Ph.D./M.S./Bachelors', 'remote_work': False, 'required_skills': ['statistical modeling', 'machine learning', 'data analysis', 'Python', 'SQL', 'experimental design', 'customer modeling']}"
1126,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': ""Bachelor's Degree"", 'remote_work': False, 'required_skills': ['AI', 'ML', 'Data Scientist', 'Python programming', 'Agile Methodologies', 'User interviews', 'DevOps', 'Prototyping', 'UI/UX']}"
1127,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Python', 'SQL', 'Machine Learning', 'Statistical Analysis', 'Data Visualization', 'Natural Language Processing', 'Software Engineering']}"
1128,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['AI', 'ML', 'Python', 'Agile', 'User Interviews', 'UI/UX', 'Data Analysis', 'Data Privacy']}"
1129,"{'min_years_of_experience': 8, 'min_hourly_salary': 64, 'max_hourly_salary': 197.12, 'min_yearly_salary': 135000, 'max_yearly_salary': 410000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'machine learning', 'mathematical concepts', 'problem-solving', 'collaboration']}"
1130,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 87120, 'max_yearly_salary': 130680, 'required_degree': 'MS', 'remote_work': True, 'required_skills': ['statistical modeling', 'machine learning', 'Python', 'R', 'SQL', 'Unix', 'Git', 'Shiny', 'R Markdown']}"
1131,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 80000, 'max_yearly_salary': 85000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['analytical chemistry', 'product development', 'spectroscopy', 'chromatography', 'gas chromatography', 'high-performance liquid chromatography', 'problem-solving', 'communication']}"
1132,"{'min_years_of_experience': None, 'min_hourly_salary': 18, 'max_hourly_salary': 38, 'min_yearly_salary': 39500, 'max_yearly_salary': 79700, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['programming languages', 'AI', 'big data', 'data structures', 'machine learning', 'web development', 'user interface design']}"
1133,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data science', 'predictive models', 'machine learning', 'statistical analysis', 'data mining', 'data visualization', 'generative AI', 'Python', 'R', 'SQL', 'data cleansing']}"
1134,"{'min_years_of_experience': 8, 'min_hourly_salary': 64, 'max_hourly_salary': 100, 'min_yearly_salary': 64000, 'max_yearly_salary': 100000, 'required_degree': None, 'remote_work': True, 'required_skills': ['data wrangling', 'analytics', 'cloud engineering', 'data management', 'data loading', 'data quality', 'AI/ML', 'SQL', 'big data']}"
1135,"{'min_years_of_experience': 12, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 253000, 'max_yearly_salary': 314000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data mining', 'quantitative analysis', 'cloud computing', 'infrastructure planning']}"
1136,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data science', 'AI', 'computer vision', 'NLP', 'time series', 'data collection', 'cleaning', 'wrangling', 'Python', 'R', 'transfer learning', 'deep learning', 'object detection', 'gesture recognition', 'information retrieval', 'time series forecasting', 'sklearn', 'pandas', 'numpy']}"
1137,"{'min_years_of_experience': 10, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 250000, 'max_yearly_salary': 350000, 'required_degree': 'Bachelors', 'remote_work': True, 'required_skills': ['data analysis', 'statistical modeling', 'Python', 'SQL', 'pricing analysis', 'pricing models', 'telematics data']}"
1138,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BA/BS', 'remote_work': False, 'required_skills': ['Data science models', 'Media measurement methodologies', 'SQL', 'Python', 'Marketing-specific data science']}"
1139,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 110000, 'max_yearly_salary': 130000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data mining', 'statistical analysis', 'data processing', 'database programming', 'data transformation', 'Python', 'R', 'SQL', 'machine learning', 'NLP', 'cloud technology', 'CI/CD', 'data security', 'Agile Development', 'data visualization', 'communication']}"
1140,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 114100, 'max_yearly_salary': 247300, 'required_degree': 'BS/MS/PHD', 'remote_work': True, 'required_skills': ['Data science', 'machine learning', 'DataFrames', 'Pandas', 'Spark', 'SME input', 'data visualization', 'PySpark', 'cloud', 'Azure', 'AWS']}"
1141,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': 100000, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['programming language Java', 'statistical knowledge', 'SAS', 'Python', 'data visualization tools', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'Databricks', 'Tensorflow', 'Core Java', 'javascript', 'C++', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', ""REST API's""]}"
1142,"{'min_years_of_experience': 10, 'min_hourly_salary': 115, 'max_hourly_salary': 125, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': True, 'required_skills': ['AWS', 'Python', 'SQL', 'PySpark', 'Docker', 'streaming', 'batch', 'Agile', 'DevOps', 'CI/CD']}"
1143,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['Core Java', 'javascript', 'C++', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'Github', 'Kubernetes', ""REST API's"", 'Statistics', 'Gen AI', 'LLM', 'Sagemaker', 'Python', 'Computer Vision', 'data visualization']}"
1144,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 136000, 'max_yearly_salary': 190000, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['data analysis', 'SQL', 'Python', 'Pandas', 'statistical methods', 'data modeling', 'machine learning', 'Looker', 'Databricks', 'Snowflake']}"
1145,"{'min_years_of_experience': 2, 'min_hourly_salary': 69, 'max_hourly_salary': 129, 'min_yearly_salary': 144900, 'max_yearly_salary': 269100, 'required_degree': 'MS/BS', 'remote_work': False, 'required_skills': ['machine learning', 'programming', 'Python', 'deep learning', 'LLMs', 'collaboration', 'communication']}"
1146,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 125500, 'max_yearly_salary': 212800, 'required_degree': None, 'remote_work': False, 'required_skills': ['data scientist', 'data querying', 'scripting language', 'statistical software', 'machine learning', 'data analysis', 'simulation tools']}"
1147,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 200000, 'max_yearly_salary': 225000, 'required_degree': None, 'remote_work': True, 'required_skills': ['MLOps', 'AWS', 'Databricks', 'Python', 'CI/CD', 'Terraform', 'Docker', 'Kubernetes']}"
1148,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['Machine Learning', 'Python', 'Data Analysis', 'Feature Engineering', 'Computer Vision', 'Natural Language Processing', 'Deep Learning', 'Statistical Analysis', 'Cloud Computing', 'NoSQL', 'API Development']}"
1149,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['Data Science', 'Machine Learning', 'Statistical Analysis', 'Python', 'SQL', 'Data Visualization', 'Data Wrangling', 'Data Storytelling']}"
1150,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 98467, 'max_yearly_salary': 170501, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['Data Science', 'Data Analytical', 'Programming', 'Data analysis', 'Communication']}"
1151,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'programming', 'quantitative research', 'qualitative research', 'ETL processes', 'communication skills', 'performance measurement', 'data manipulation', 'stakeholder engagement', 'technical briefings', 'cloud computing', 'statistical analysis', 'machine learning']}"
1152,"{'min_years_of_experience': 3, 'min_hourly_salary': 36, 'max_hourly_salary': 60, 'min_yearly_salary': 76128, 'max_yearly_salary': 124800, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['data wrangling', 'data visualization', 'statistical inference', 'programming', 'Python', 'business acumen', 'collaboration']}"
1153,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 130000, 'max_yearly_salary': 165000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['software development', 'low-latency data processing', 'Kubernetes', 'AI/ML models', 'data science', 'statistical analysis', 'API management', 'Python', 'C++', 'Go', 'Java', 'C#', 'SQL']}"
1154,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['modeling', 'simulation', 'SQL', 'database design', 'production code', 'development roadmaps', 'communication']}"
1155,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['CPG Domain', 'demand forecasting', 'revenue management', 'pricing models', 'business problems', 'exploratory analysis', 'Machine Learning', 'Advanced Analytics', 'textual data', 'Semantic model', 'NER', 'pre-trained models', 'Deep learning', 'NLP', 'NLG', 'NLU', 'PyTorch', 'Tensor Flow', 'BERT', 'Langchain', 'GPT', 'Open CV', 'Gen AI models', 'Mistral', 'Falcon', 'Llama 2', 'GPT 3.5', 'GPT 4', 'Prompt Engineering', 'Azure services', 'client engagement', 'Linear Regression', 'gradient descent', 'Logistic Regression', 'Forecasting', 'Cluster analysis', 'Decision trees', 'Linear Optimization', 'Text Mining', 'NLP models', 'Python', 'SQL', 'TensorFlow', 'language semantic concepts', 'data standardization']}"
1156,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 190000, 'max_yearly_salary': 230000, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['statistical methods', 'data analysis', 'SQL', 'Pandas', 'R', 'bash', 'Unix', 'git']}"
1157,"{'min_years_of_experience': 10, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 250000, 'max_yearly_salary': 350000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'statistical modeling', 'programming', 'Python', 'SQL', 'pricing analysis', 'pricing models', 'telematics data']}"
1158,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 200740, 'max_yearly_salary': 253430, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data science', 'statistics', 'causal inference', 'experimental design', 'SQL', 'R', 'Python', 'data visualization', 'large datasets', 'Spark', 'Hadoop', 'Flink', 'consumer-facing product']}"
1159,"{'min_years_of_experience': 10, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 230000, 'max_yearly_salary': 350000, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data science', 'machine learning', 'statistical modeling', 'data visualization', 'Python', 'R', 'SQL', 'big data', 'data governance', 'data management', 'data security', 'problem-solving', 'critical-thinking', 'communication', 'leadership']}"
1160,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS/PhD', 'remote_work': True, 'required_skills': ['Machine Learning', 'Predictive Modeling', 'Data Analysis', 'Python', 'R', 'Scala', 'TensorFlow', 'PyTorch', 'scikit-learn', 'AWS', 'Azure', 'Google Cloud']}"
1161,"{'min_years_of_experience': 2, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 72150, 'max_yearly_salary': 130425, 'required_degree': 'BA/MS', 'remote_work': False, 'required_skills': ['data analysis', 'data collection', 'programming', 'Python', 'Tableau', 'SQL', 'geospatial data', 'data cleansing', 'cloud architecture', 'Dev Ops', 'digital cartography', 'GIS']}"
1162,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data science', 'analytics', 'Python', 'R', 'Spark', 'Scala', 'SQL', 'dimensionality reduction', 'feature extraction']}"
1163,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 100000, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['Java', 'javascript', 'C++', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'Github', 'Kubernates', 'REST API', 'Statistics', 'Gen AI', 'LLM', 'Sagemaker', 'Python', 'Computer Vision', 'data visualization']}"
1164,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 195000, 'max_yearly_salary': 205000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['machine learning', 'deep learning', 'programming', 'Python', 'signal processing', 'big data']}"
1165,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 150000, 'max_yearly_salary': 223000, 'required_degree': 'MS', 'remote_work': True, 'required_skills': ['analytics', 'coding', 'statistical analysis', 'data mining', 'model evaluation']}"
1166,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'PhD', 'remote_work': False, 'required_skills': ['Natural Language Processing', 'Large Language Models', 'Deep Learning', 'Python', 'C/C++', 'Software Design', 'Debugging', 'Performance Analysis', 'Optimization', 'LLM Architectures', 'Transformer-based Models', 'Deep Learning Frameworks', 'LLM-specific Libraries', 'Text Processing', 'Tokenization', 'Embedding Techniques', 'Agentic LLMs', 'Multi-agent Systems', 'Human-AI Collaboration', 'Language Model Fine-tuning', 'Few-shot Learning', 'Transfer Learning', 'LLM Evaluation Metrics', 'Distributed Training', 'Model Parallelism', 'Communication Skills', 'Interpersonal Skills']}"
1167,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BA/BS', 'remote_work': False, 'required_skills': ['Ads experimentation', 'experiment design', 'statistics', 'analytics', 'data analysis', 'Python', 'R', 'SQL', 'communication']}"
1168,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 135000, 'max_yearly_salary': 165000, 'required_degree': 'Graduate degree in atmospheric science, meteorology or related field', 'remote_work': True, 'required_skills': ['machine learning', 'atmospheric sciences', 'deep learning', 'meteorological data', 'cloud environments', 'communication skills', 'project management']}"
1169,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS/Ph.D.', 'remote_work': True, 'required_skills': ['data science', 'software development', 'Python', 'communication', 'mentoring', 'project management']}"
1170,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 150000, 'max_yearly_salary': 180000, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['machine learning', 'Python', 'data analysis', 'SQL', 'Spark', 'collaboration', 'programming']}"
1171,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data analysis', 'data mining', 'machine learning', 'AI', 'statistical techniques', 'programming', 'data architecture']}"
1172,"{'min_years_of_experience': None, 'min_hourly_salary': 62, 'max_hourly_salary': 72, 'min_yearly_salary': 130000, 'max_yearly_salary': 150000, 'required_degree': None, 'remote_work': True, 'required_skills': ['Python', 'SQL', 'data visualization', 'predictive modeling', 'data analysis', 'problem-solving']}"
1173,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['AI strategy', 'Deep Learning', 'Big Data', 'Machine Learning', 'Python', 'R', 'SQL', 'NLP', 'Project Management', 'Data Sciences']}"
1174,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data science', 'natural language processing', 'statistical analysis', 'machine learning', 'programming', 'big data', 'cloud computing', 'communication', 'project coordination', 'stakeholder management']}"
1175,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 130000, 'max_yearly_salary': 150000, 'required_degree': None, 'remote_work': True, 'required_skills': ['data science', 'analytics', 'SQL', 'Python', 'R', 'data quality', 'communication']}"
1176,"{'min_years_of_experience': 4, 'min_hourly_salary': 50, 'max_hourly_salary': 91, 'min_yearly_salary': 106000, 'max_yearly_salary': 191100, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['data scripting', 'big data', 'telecom', 'data visualization', 'communication', 'statistical techniques']}"
1177,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['gene therapy', 'transfection', 'sequencing', 'electroporation', 'DNA manipulation', 'AAV', 'gene editing', 'CAR T', 'assay development', 'method design']}"
